Gene                      Capacity   Entropy    Info       logC       R         
AMW76648.1                720.000    445.961    274.039    9.492      1.627     
AMW76647.1                217.000    121.237    95.763     7.762      1.266     
AMW76646.1                558.000    308.230    249.770    9.124      1.234     
AMW76645.1                222.000    127.062    94.938     7.794      1.338     
AMW76644.1                199.000    106.047    92.953     7.637      1.141     
AMW76643.1                531.000    323.399    207.601    9.053      1.558     
AMW76642.1                278.000    153.904    124.096    8.119      1.240     
AMW76641.1                248.000    153.659    94.341     7.954      1.629     
AMW76640.1                244.000    150.520    93.480     7.931      1.610     
AMW76639.1                287.000    164.859    122.141    8.165      1.350     
AMW76638.1                487.000    357.715    129.285    8.928      2.767     
AMW76637.1                249.000    143.993    105.007    7.960      1.371     
AMW76636.1                582.000    192.313    389.687    9.185      0.494     
AMW76635.1                318.000    183.437    134.563    8.313      1.363     
AMW76634.1                251.000    117.299    133.701    7.972      0.877     
AMW76633.1                722.000    432.786    289.214    9.496      1.496     
AMW76632.1                89.000     71.019     17.981     6.476      3.950     
AMW76631.1                322.000    114.561    207.439    8.331      0.552     
AMW76630.1                302.000    174.631    127.369    8.238      1.371     
AMW76629.1                673.000    286.335    386.665    9.394      0.741     
AMW76628.1                668.000    396.883    271.117    9.384      1.464     
AMW76627.1                98.000     74.129     23.871     6.615      3.105     
AMW76626.1                485.000    308.808    176.192    8.922      1.753     
AMW76625.1                479.000    322.150    156.850    8.904      2.054     
AMW76624.1                242.000    127.634    114.366    7.919      1.116     
AMW76623.1                533.000    253.009    279.991    9.058      0.904     
AMW76622.1                288.000    168.444    119.556    8.170      1.409     
AMW76621.1                102.000    65.790     36.210     6.672      1.817     
AMW76620.1                223.000    159.278    63.722     7.801      2.500     
AMW76619.1                208.000    148.891    59.109     7.700      2.519     
AMW76618.1                94.000     70.081     23.919     6.555      2.930     
AMW76617.1                282.000    215.664    66.336     8.140      3.251     
AMW76616.1                88.000     59.323     28.677     6.459      2.069     
AMW76615.1                111.000    77.805     33.195     6.794      2.344     
AMW76614.1                233.000    136.811    96.189     7.864      1.422     
AMW76613.1                137.000    91.514     45.486     7.098      2.012     
AMW76612.1                138.000    124.733    13.267     7.109      9.401     
AMW76611.1                85.000     65.566     19.434     6.409      3.374     
AMW76610.1                122.000    78.483     43.517     6.931      1.803     
AMW76609.1                108.000    88.696     19.304     6.755      4.595     
AMW76608.1                180.000    112.106    67.894     7.492      1.651     
AMW76607.1                61.000     39.002     21.998     5.931      1.773     
AMW76606.1                129.000    81.335     47.665     7.011      1.706     
AMW76605.1                180.000    133.247    46.753     7.492      2.850     
AMW76604.1                116.000    81.653     34.347     6.858      2.377     
AMW76603.1                254.000    206.014    47.986     7.989      4.293     
AMW76602.1                145.000    122.797    22.203     7.180      5.531     
AMW76601.1                482.000    224.108    257.892    8.913      0.869     
AMW76600.1                213.000    125.786    87.214     7.735      1.442     
AMW76599.1                251.000    140.952    110.048    7.972      1.281     
AMW76598.1                74.000     43.833     30.167     6.209      1.453     
AMW76597.1                37.000     36.359     0.641      5.209      56.721    
AMW76596.1                121.000    95.989     25.011     6.919      3.838     
AMW76595.1                129.000    108.823    20.177     7.011      5.393     
AMW76594.1                317.000    193.396    123.604    8.308      1.565     
AMW76593.1                119.000    88.679     30.321     6.895      2.925     
AMW76592.1                408.000    279.086    128.914    8.672      2.165     
AMW76591.1                303.000    189.784    113.216    8.243      1.676     
AMW76590.1                336.000    143.760    192.240    8.392      0.748     
AMW76589.1                251.000    120.967    130.033    7.972      0.930     
AMW76588.1                1381.000   789.201    591.799    10.431     1.334     
AMW76587.1                151.000    103.444    47.556     7.238      2.175     
AMW76586.1                132.000    90.393     41.607     7.044      2.173     
AMW76585.1                929.000    626.591    302.409    9.860      2.072     
AMW76584.1                804.000    453.952    350.048    9.651      1.297     
AMW76583.1                158.000    128.194    29.806     7.304      4.301     
AMW76582.1                73.000     56.244     16.756     6.190      3.357     
AMW76581.1                154.000    93.117     60.883     7.267      1.529     
AMW76580.1                283.000    177.117    105.883    8.145      1.673     
AMW76579.1                279.000    180.417    98.583     8.124      1.830     
AMW76578.1                202.000    107.734    94.266     7.658      1.143     
AMW76577.1                353.000    197.920    155.080    8.464      1.276     
AMW76576.1                414.000    249.531    164.469    8.693      1.517     
AMW76575.1                987.000    516.220    470.780    9.947      1.097     
AMW76574.1                911.000    542.032    368.968    9.831      1.469     
AMW76573.1                394.000    210.810    183.190    8.622      1.151     
AMW76572.1                312.000    176.358    135.642    8.285      1.300     
AMW76571.1                338.000    201.101    136.899    8.401      1.469     
AMW76570.1                404.000    255.212    148.788    8.658      1.715     
AMW76569.1                314.000    110.650    203.350    8.295      0.544     
AMW76568.1                610.000    390.167    219.833    9.253      1.775     
AMW76567.1                46.000     41.522     4.478      5.524      9.271     
AMW76566.1                713.000    486.446    226.554    9.478      2.147     
AMW76565.1                340.000    204.423    135.577    8.409      1.508     
AMW76564.1                200.000    154.494    45.506     7.644      3.395     
AMW76563.1                591.000    436.031    154.969    9.207      2.814     
AMW76562.1                372.000    277.440    94.560     8.539      2.934     
AMW76561.1                292.000    215.165    76.835     8.190      2.800     
AMW76560.1                295.000    200.384    94.616     8.205      2.118     
AMW76559.1                237.000    137.629    99.371     7.889      1.385     
AMW76558.1                182.000    122.893    59.107     7.508      2.079     
AMW76557.1                554.000    311.127    242.873    9.114      1.281     
AMW76556.1                1482.000   856.439    625.561    10.533     1.369     
AMW76555.1                202.000    93.455     108.545    7.658      0.861     
AMW76554.1                350.000    219.429    130.571    8.451      1.681     
AMW76553.1                794.000    481.593    312.407    9.633      1.542     
AMW76552.1                59.000     48.445     10.555     5.883      4.590     
AMW76551.1                133.000    76.727     56.273     7.055      1.363     
AMW76550.1                308.000    202.528    105.472    8.267      1.920     
AMW76549.1                386.000    226.555    159.445    8.592      1.421     
AMW76548.1                915.000    519.855    395.145    9.838      1.316     
AMW76547.1                202.000    66.312     135.688    7.658      0.489     
AMW76546.1                310.000    198.524    111.476    8.276      1.781     
AMW76545.1                433.000    200.505    232.495    8.758      0.862     
AMW76544.1                160.000    90.948     69.052     7.322      1.317     
AMW76543.1                110.000    73.123     36.877     6.781      1.983     
AMW76542.1                312.000    219.003    92.997     8.285      2.355     
AMW76541.1                207.000    157.201    49.799     7.693      3.157     
AMW76540.1                357.000    285.641    71.359     8.480      4.003     
AMW76539.1                295.000    148.237    146.763    8.205      1.010     
AMW76538.1                133.000    92.208     40.792     7.055      2.260     
AMW76537.1                100.000    68.784     31.216     6.644      2.204     
AMW76536.1                87.000     51.841     35.159     6.443      1.474     
AMW76535.1                93.000     72.344     20.656     6.539      3.502     
AMW76534.1                291.000    144.265    146.735    8.185      0.983     
AMW76533.1                226.000    121.116    104.884    7.820      1.155     
AMW76532.1                449.000    249.210    199.790    8.811      1.247     
AMW76531.1                451.000    286.530    164.470    8.817      1.742     
AMW76530.1                54.000     49.724     4.276      5.755      11.629    
AMW76529.1                145.000    136.632    8.368      7.180      16.328    
AMW76528.1                548.000    343.273    204.727    9.098      1.677     
AMW76527.1                194.000    86.207     107.793    7.600      0.800     
AMW76526.1                318.000    183.992    134.008    8.313      1.373     
AMW76525.1                898.000    564.241    333.759    9.811      1.691     
AMW76524.1                643.000    408.628    234.372    9.329      1.743     
AMW76523.1                471.000    259.827    211.173    8.880      1.230     
AMW76522.1                255.000    158.609    96.391     7.994      1.645     
AMW76521.1                167.000    94.142     72.858     7.384      1.292     
AMW76520.1                427.000    231.831    195.169    8.738      1.188     
AMW76519.1                631.000    371.064    259.936    9.301      1.428     
AMW76518.1                187.000    93.456     93.544     7.547      0.999     
AMW76517.1                145.000    80.109     64.891     7.180      1.235     
AMW76516.1                412.000    228.436    183.564    8.687      1.244     
AMW76515.1                978.000    766.080    211.920    9.934      3.615     
AMW76514.1                718.000    589.760    128.240    9.488      4.599     
AMW76513.1                132.000    73.275     58.725     7.044      1.248     
AMW76512.1                326.000    182.064    143.936    8.349      1.265     
AMW76511.1                309.000    179.821    129.179    8.271      1.392     
AMW76510.1                438.000    276.411    161.589    8.775      1.711     
AMW76509.1                227.000    121.576    105.424    7.827      1.153     
AMW76508.1                387.000    233.641    153.359    8.596      1.523     
AMW76507.1                257.000    146.928    110.072    8.006      1.335     
AMW76506.1                111.000    79.876     31.124     6.794      2.566     
AMW76505.1                409.000    296.899    112.101    8.676      2.649     
AMW76504.1                224.000    135.452    88.548     7.807      1.530     
AMW76503.1                269.000    171.724    97.276     8.071      1.765     
AMW76502.1                696.000    324.646    371.354    9.443      0.874     
AMW76501.1                376.000    248.375    127.625    8.555      1.946     
AMW76500.1                147.000    119.008    27.992     7.200      4.251     
AMW76499.1                65.000     53.175     11.825     6.022      4.497     
AMW76498.1                103.000    53.302     49.698     6.687      1.073     
AMW76497.1                547.000    337.305    209.695    9.095      1.609     
AMW76496.1                334.000    207.169    126.831    8.384      1.633     
AMW76495.1                232.000    151.489    80.511     7.858      1.882     
AMW76494.1                129.000    86.241     42.759     7.011      2.017     
AMW76493.1                988.000    725.205    262.795    9.948      2.760     
AMW76492.1                754.000    461.467    292.533    9.558      1.577     
AMW76491.1                170.000    88.502     81.498     7.409      1.086     
AMW76490.1                1384.000   814.062    569.938    10.435     1.428     
AMW76489.1                504.000    257.385    246.615    8.977      1.044     
AMW76488.1                453.000    285.979    167.021    8.823      1.712     
AMW76487.1                258.000    160.336    97.664     8.011      1.642     
AMW76486.1                225.000    125.497    99.503     7.814      1.261     
AMW76485.1                506.000    394.522    111.478    8.983      3.539     
AMW76484.1                612.000    391.665    220.335    9.257      1.778     
AMW76483.1                456.000    263.638    192.362    8.833      1.371     
AMW76482.1                249.000    118.106    130.894    7.960      0.902     
AMW76481.1                301.000    190.436    110.564    8.234      1.722     
AMW76480.1                164.000    88.045     75.955     7.358      1.159     
AMW76479.1                594.000    246.660    347.340    9.214      0.710     
AMW76478.1                183.000    92.547     90.453     7.516      1.023     
AMW76477.1                1753.000   1006.050   746.950    10.776     1.347     
AMW76476.1                820.000    565.010    254.990    9.679      2.216     
AMW76475.1                786.000    539.747    246.253    9.618      2.192     
AMW76474.1                100.000    71.800     28.200     6.644      2.546     
AMW76473.1                184.000    114.059    69.941     7.524      1.631     
AMW76472.1                317.000    194.200    122.800    8.308      1.581     
AMW76471.1                714.000    388.741    325.259    9.480      1.195     
AMW76470.1                205.000    154.819    50.181     7.679      3.085     
AMW76469.1                375.000    201.248    173.752    8.551      1.158     
AMW76468.1                212.000    105.213    106.787    7.728      0.985     
AMW76467.1                219.000    95.204     123.796    7.775      0.769     
AMW76466.1                365.000    196.549    168.451    8.512      1.167     
AMW76465.1                92.000     58.462     33.538     6.524      1.743     
AMW76464.1                245.000    143.042    101.958    7.937      1.403     
AMW76463.1                433.000    271.311    161.689    8.758      1.678     
AMW76462.1                104.000    65.472     38.528     6.700      1.699     
AMW76461.1                246.000    129.165    116.835    7.943      1.106     
AMW76460.1                535.000    275.423    259.577    9.063      1.061     
AMW76459.1                617.000    301.129    315.871    9.269      0.953     
AMW76458.1                623.000    294.366    328.634    9.283      0.896     
AMW76457.1                316.000    186.414    129.586    8.304      1.439     
AMW76456.1                127.000    85.336     41.664     6.989      2.048     
AMW76455.1                240.000    151.717    88.283     7.907      1.719     
AMW76454.1                164.000    80.968     83.032     7.358      0.975     
AMW76453.1                92.000     61.896     30.104     6.524      2.056     
AMW76452.1                155.000    86.605     68.395     7.276      1.266     
AMW76451.1                447.000    337.366    109.634    8.804      3.077     
AMW76450.1                509.000    350.278    158.722    8.992      2.207     
AMW76449.1                125.000    93.806     31.194     6.966      3.007     
AMW76448.1                182.000    118.704    63.296     7.508      1.875     
AMW76447.1                90.000     69.297     20.703     6.492      3.347     
AMW76446.1                435.000    245.731    189.269    8.765      1.298     
AMW76445.1                220.000    108.839    111.161    7.781      0.979     
AMW76444.1                231.000    151.925    79.075     7.852      1.921     
AMW76443.1                296.000    143.399    152.601    8.209      0.940     
AMW76442.1                186.000    120.491    65.509     7.539      1.839     
AMW76441.1                239.000    192.468    46.532     7.901      4.136     
AMW76440.1                275.000    105.194    169.806    8.103      0.619     
AMW76439.1                205.000    120.170    84.830     7.679      1.417     
AMW76438.1                252.000    156.041    95.959     7.977      1.626     
AMW76437.1                209.000    140.183    68.817     7.707      2.037     
AMW76436.1                278.000    148.891    129.109    8.119      1.153     
AMW76435.1                253.000    122.718    130.282    7.983      0.942     
AMW76434.1                496.000    140.197    355.803    8.954      0.394     
AMW76433.1                81.000     50.651     30.349     6.340      1.669     
AMW76432.1                656.000    405.713    250.287    9.358      1.621     
AMW76431.1                50.000     31.309     18.691     5.644      1.675     
AMW76430.1                244.000    90.058     153.942    7.931      0.585     
AMW76429.1                336.000    210.963    125.037    8.392      1.687     
AMW76428.1                358.000    198.211    159.789    8.484      1.240     
AMW76427.1                342.000    104.622    237.378    8.418      0.441     
AMW76426.1                1482.000   884.622    597.378    10.533     1.481     
AMW76425.1                216.000    135.493    80.507     7.755      1.683     
AMW76424.1                164.000    103.085    60.915     7.358      1.692     
AMW76423.1                584.000    437.808    146.192    9.190      2.995     
AMW76422.1                93.000     66.759     26.241     6.539      2.544     
AMW76421.1                99.000     50.729     48.271     6.629      1.051     
AMW76420.1                620.000    396.762    223.238    9.276      1.777     
AMW76419.1                214.000    92.169     121.831    7.741      0.757     
AMW76418.1                88.000     62.788     25.212     6.459      2.490     
AMW76417.1                184.000    112.737    71.263     7.524      1.582     
AMW76416.1                292.000    149.338    142.662    8.190      1.047     
AMW76415.1                117.000    79.700     37.300     6.870      2.137     
AMW76414.1                414.000    251.277    162.723    8.693      1.544     
AMW76413.1                574.000    328.794    245.206    9.165      1.341     
AMW76412.1                268.000    119.115    148.885    8.066      0.800     
AMW76411.1                600.000    353.165    246.835    9.229      1.431     
AMW76410.1                205.000    130.296    74.704     7.679      1.744     
AMW76409.1                474.000    283.883    190.117    8.889      1.493     
AMW76408.1                226.000    120.417    105.583    7.820      1.140     
AMW76407.1                187.000    90.989     96.011     7.547      0.948     
AMW76406.1                138.000    72.702     65.298     7.109      1.113     
AMW76405.1                371.000    205.462    165.538    8.535      1.241     
AMW76404.1                300.000    173.974    126.026    8.229      1.380     
AMW76403.1                225.000    131.739    93.261     7.814      1.413     
AMW76402.1                872.000    492.299    379.701    9.768      1.297     
AMW76401.1                265.000    156.137    108.863    8.050      1.434     
AMW76400.1                583.000    350.931    232.069    9.187      1.512     
AMW76399.1                584.000    340.000    244.000    9.190      1.393     
AMW76398.1                157.000    124.718    32.282     7.295      3.863     
AMW76397.1                229.000    167.799    61.201     7.839      2.742     
AMW76396.1                192.000    97.110     94.890     7.585      1.023     
AMW76395.1                186.000    61.543     124.457    7.539      0.494     
AMW76394.1                196.000    121.804    74.196     7.615      1.642     
AMW76393.1                395.000    221.673    173.327    8.626      1.279     
AMW76392.1                595.000    291.571    303.429    9.217      0.961     
AMW76391.1                208.000    159.885    48.115     7.700      3.323     
AMW76390.1                96.000     33.686     62.314     6.585      0.541     
AMW76389.1                154.000    93.823     60.177     7.267      1.559     
AMW76388.1                573.000    373.861    199.139    9.162      1.877     
AMW76387.1                393.000    229.240    163.760    8.618      1.400     
AMW76386.1                322.000    204.520    117.480    8.331      1.741     
AMW76385.1                629.000    397.937    231.063    9.297      1.722     
AMW76384.1                441.000    309.376    131.624    8.785      2.350     
AMW76383.1                639.000    373.827    265.173    9.320      1.410     
AMW76382.1                478.000    298.118    179.882    8.901      1.657     
AMW76381.1                326.000    201.451    124.549    8.349      1.617     
AMW76380.1                505.000    275.112    229.888    8.980      1.197     
AMW76379.1                190.000    102.298    87.702     7.570      1.166     
AMW76378.1                143.000    92.992     50.008     7.160      1.860     
AMW76377.1                273.000    88.308     184.692    8.093      0.478     
AMW76376.1                451.000    286.698    164.302    8.817      1.745     
AMW76375.1                297.000    188.885    108.115    8.214      1.747     
AMW76374.1                185.000    103.532    81.468     7.531      1.271     
AMW76373.1                200.000    117.476    82.524     7.644      1.424     
AMW76372.1                181.000    137.513    43.487     7.500      3.162     
AMW76371.1                63.000     62.073     0.927      5.977      66.928    
AMW76370.1                119.000    81.781     37.219     6.895      2.197     
AMW76369.1                351.000    213.748    137.252    8.455      1.557     
AMW76368.1                330.000    137.138    192.862    8.366      0.711     
AMW76367.1                1036.000   650.455    385.545    10.017     1.687     
AMW76366.1                1033.000   749.108    283.892    10.013     2.639     
AMW76365.1                622.000    404.418    217.582    9.281      1.859     
AMW76364.1                566.000    372.814    193.186    9.145      1.930     
AMW76363.1                336.000    132.366    203.634    8.392      0.650     
AMW76362.1                414.000    181.506    232.494    8.693      0.781     
AMW76361.1                164.000    77.475     86.525     7.358      0.895     
AMW76360.1                896.000    554.030    341.970    9.807      1.620     
AMW76359.1                395.000    258.631    136.369    8.626      1.897     
AMW76358.1                689.000    447.997    241.003    9.428      1.859     
AMW76357.1                155.000    95.526     59.474     7.276      1.606     
AMW76356.1                139.000    109.229    29.771     7.119      3.669     
AMW76355.1                509.000    227.559    281.441    8.992      0.809     
AMW76354.1                235.000    119.267    115.733    7.877      1.031     
AMW76353.1                304.000    154.736    149.264    8.248      1.037     
AMW76352.1                166.000    101.100    64.900     7.375      1.558     
AMW76351.1                490.000    195.916    294.084    8.937      0.666     
AMW76350.1                282.000    127.120    154.880    8.140      0.821     
AMW76349.1                364.000    279.857    84.143     8.508      3.326     
AMW76348.1                209.000    114.087    94.913     7.707      1.202     
AMW76347.1                316.000    187.263    128.737    8.304      1.455     
AMW76346.1                632.000    419.542    212.458    9.304      1.975     
AMW76345.1                92.000     66.388     25.612     6.524      2.592     
AMW76344.1                757.000    462.996    294.004    9.564      1.575     
AMW76343.1                353.000    210.909    142.091    8.464      1.484     
AMW76342.1                297.000    189.879    107.121    8.214      1.773     
AMW76341.1                532.000    328.780    203.220    9.055      1.618     
AMW76340.1                142.000    116.315    25.685     7.150      4.529     
AMW76339.1                404.000    217.510    186.490    8.658      1.166     
AMW76338.1                483.000    289.139    193.861    8.916      1.491     
AMW76337.1                253.000    85.050     167.950    7.983      0.506     
AMW76336.1                146.000    79.448     66.552     7.190      1.194     
AMW76335.1                290.000    165.657    124.343    8.180      1.332     
AMW76334.1                306.000    154.724    151.276    8.257      1.023     
AMW76333.1                414.000    177.687    236.313    8.693      0.752     
AMW76332.1                289.000    171.497    117.503    8.175      1.460     
AMW76331.1                370.000    295.542    74.458     8.531      3.969     
AMW76330.1                132.000    68.829     63.171     7.044      1.090     
AMW76329.1                469.000    282.947    186.053    8.873      1.521     
AMW76328.1                71.000     67.285     3.715      6.150      18.110    
AMW76327.1                303.000    166.787    136.213    8.243      1.224     
AMW76326.1                944.000    634.190    309.810    9.883      2.047     
AMW76325.1                238.000    72.550     165.450    7.895      0.438     
AMW76324.1                81.000     77.796     3.204      6.340      24.279    
AMW76323.1                452.000    250.417    201.583    8.820      1.242     
AMW76322.1                73.000     55.358     17.642     6.190      3.138     
AMW76321.1                318.000    172.679    145.321    8.313      1.188     
AMW76320.1                279.000    145.191    133.809    8.124      1.085     
AMW76319.1                454.000    265.715    188.285    8.827      1.411     
AMW76318.1                280.000    156.251    123.749    8.129      1.263     
AMW76317.1                102.000    57.622     44.378     6.672      1.298     
AMW76316.1                500.000    311.825    188.175    8.966      1.657     
AMW76315.1                324.000    196.436    127.564    8.340      1.540     
AMW76314.1                422.000    270.337    151.663    8.721      1.782     
AMW76313.1                274.000    89.570     184.430    8.098      0.486     
AMW76312.1                149.000    93.486     55.514     7.219      1.684     
AMW76311.1                668.000    424.826    243.174    9.384      1.747     
AMW76310.1                196.000    115.927    80.073     7.615      1.448     
AMW76309.1                213.000    143.912    69.088     7.735      2.083     
AMW76308.1                246.000    134.714    111.286    7.943      1.211     
AMW76307.1                240.000    140.877    99.123     7.907      1.421     
AMW76306.1                275.000    162.111    112.889    8.103      1.436     
AMW76305.1                401.000    224.395    176.605    8.647      1.271     
AMW76304.1                648.000    431.304    216.696    9.340      1.990     
AMW76303.1                1789.000   1051.491   737.509    10.805     1.426     
AMW76302.1                1052.000   642.992    409.008    10.039     1.572     
AMW76301.1                344.000    262.061    81.939     8.426      3.198     
AMW76300.1                199.000    109.944    89.056     7.637      1.235     
AMW76299.1                137.000    94.733     42.267     7.098      2.241     
AMW76298.1                146.000    114.766    31.234     7.190      3.674     
AMW76297.1                75.000     58.525     16.475     6.229      3.552     
AMW76296.1                509.000    276.386    232.614    8.992      1.188     
AMW76295.1                548.000    381.509    166.491    9.098      2.291     
AMW76294.1                538.000    322.075    215.925    9.071      1.492     
AMW76293.1                855.000    533.435    321.565    9.740      1.659     
AMW76292.1                325.000    130.560    194.440    8.344      0.671     
AMW76291.1                834.000    529.204    304.796    9.704      1.736     
AMW76290.1                634.000    414.233    219.767    9.308      1.885     
AMW76289.1                363.000    240.439    122.561    8.504      1.962     
AMW76288.1                266.000    142.977    123.023    8.055      1.162     
AMW76287.1                180.000    114.899    65.101     7.492      1.765     
AMW76286.1                375.000    214.120    160.880    8.551      1.331     
AMW76285.1                450.000    297.033    152.967    8.814      1.942     
